queue,who,vote_id,date,bill,theme,policy_area,title,crs_lead,valence,plain_language_summary,coded_blind,notes
119th,incumbents,s-119-1-153,2025-03-27,sjres-18-119,ACCESS_TO_CAPITAL,Finance and Financial Sector,"A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Overdraft Lending: Very Large Financial Institutions"".",,+1,,true,
119th,incumbents,s-119-1-97,2025-02-27,hjres-35-119,INPUT_COSTS,Environmental Protection,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions"".",,0,,true,
119th,incumbents,s-119-1-160,2025-04-02,sjres-37-119,INPUT_COSTS,Foreign Trade and International Finance,A joint resolution terminating the national emergency declared to impose duties on articles imported from Canada.,,+1,,true,
119th,incumbents,s-119-1-162,2025-04-03,hjres-24-119,INPUT_COSTS,Energy,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers"".",,+1,,true,
119th,incumbents,s-119-1-207,2025-04-10,hjres-20-119,INPUT_COSTS,Energy,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters"".",,+1,,true,
119th,incumbents,s-119-1-223,2025-04-30,hjres-42-119,INPUT_COSTS,Energy,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program for Appliance Standards: Certification Requirements, Labeling Requirements, and Enforcement Provisions for Certain Consumer Products and Commercial Equipment"".",,+1,,true,
119th,incumbents,s-119-1-225,2025-04-30,sjres-49-119,INPUT_COSTS,Foreign Trade and International Finance,A joint resolution terminating the national emergency declared to impose global tariffs.,,+1,,true,
119th,incumbents,s-119-1-228,2025-05-01,hjres-75-119,INPUT_COSTS,Energy,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of Energy Efficiency and Renewable Energy, Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Commercial Refrigerators, Freezers, and Refrigerator-Freezers"".",,+1,,true,
119th,incumbents,s-119-1-594,2025-10-28,sjres-81-119,INPUT_COSTS,Foreign Trade and International Finance,A joint resolution terminating the national emergency declared to impose duties on articles imported from Brazil.,,+1,,true,
119th,incumbents,s-119-1-598,2025-10-29,sjres-77-119,INPUT_COSTS,Foreign Trade and International Finance,A joint resolution terminating the national emergency declared to impose duties on articles imported from Canada.,,+1,,true,
119th,incumbents,s-119-1-599,2025-10-30,sjres-80-119,INPUT_COSTS,Energy,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""National Petroleum Reserve in Alaska Integrated Activity Plan Record of Decision"".",,+1,,true,
119th,incumbents,s-119-1-600,2025-10-30,sjres-88-119,INPUT_COSTS,Foreign Trade and International Finance,A joint resolution terminating the national emergency declared to impose global tariffs.,,+1,,true,
119th,incumbents,s-119-1-632,2025-12-04,hjres-131-119,INPUT_COSTS,Energy,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""Coastal Plain Oil and Gas Leasing Program Record of Decision"".",,+1,,true,
