pollster,sponsor,start_date,end_date,n,population,dem,rep,partisan,source_url
Marist,NPR/PBS News,2025-11-10,2025-11-13,1291,rv,55,41,,https://maristpoll.marist.edu/polls/a-look-to-the-2026-midterms-november-2025/
Quinnipiac University,,2025-12-11,2025-12-15,1035,rv,47,43,,https://poll.qu.edu/poll-release?releaseid=3943
Fox News,,2026-01-23,2026-01-26,1005,rv,52,46,,https://www.foxnews.com/politics/fox-news-poll-early-look-2026-midterms
Quinnipiac University,,2026-03-19,2026-03-23,1191,rv,51,40,,https://poll.qu.edu/images/polling/us/us03252026_ueek31.pdf
Emerson College,,2026-04-24,2026-04-26,1000,lv,50,40,,https://emersoncollegepolling.com/april-2026-national-poll/
Quinnipiac University,,2026-05-14,2026-05-18,1106,rv,50,39,,https://poll.qu.edu/poll-release?releaseid=3959
Emerson College,,2026-07-19,2026-07-20,1100,lv,53,42,,https://emersoncollegepolling.com/july-2026-national-poll-democrats-with-11-point-generic-ballot-advantage/
Quinnipiac University,,2026-07-23,2026-07-27,963,rv,48,41,,https://poll.qu.edu/poll-release?releaseid=3964
YouGov,The Economist,2026-08-14,2026-08-17,1449,rv,46,39,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_jNjXIL6.pdf
Emerson College,,2026-08-16,2026-08-17,1000,lv,51,43,,https://emersoncollegepolling.com/august-2026-national-poll/
YouGov,The Economist,2026-08-21,2026-08-24,1377,rv,46,40,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_v7iliA1.pdf
Ipsos,Reuters,2026-07-29,2026-08-03,3542,rv,42.0,37.0,,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-08/Reuters%20Ipsos%20August%20Large%20Sample%20Topline%20Full.pdf
UMass Amherst,,2026-08-21,2026-08-26,1000,a,42.0,34.0,,https://www.umass.edu/poll/about/reports/2026-09-national-public-opinion-poll-0
YouGov,The Economist,2026-08-28,2026-08-31,1434,rv,46.0,40.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_yVe1kKt.pdf
