vote_id,congress_era,vote_date,vote_category,bill_id,title,plain_language_summary,crs_url,suggested_theme,suggested,adjudicated,notes
h-111-1-1,111,2009-01-06,PROCEDURAL,,,,,,true,false,
h-111-1-3,111,2009-01-06,PROCEDURAL,hres-5-111,Adopting rules for the One Hundred Eleventh Congress,,,,true,false,
h-111-1-4,111,2009-01-06,PASSAGE,hres-5-111,Adopting rules for the One Hundred Eleventh Congress,,,,true,false,
h-111-1-5,111,2009-01-07,SUSPENSION,hr-35-111,Presidential Records Act Amendments,,,,true,false,
h-111-1-6,111,2009-01-07,SUSPENSION,hr-36-111,Presidential Library Donation Reform Act,,,,true,false,
h-111-1-10,111,2009-01-09,SUSPENSION,hres-34-111,"Recognizing Israel’s right to defend itself against attacks from Gaza, reaffirming the United States’ strong support for Israel, and supporting the Israeli-Palestinian peace process",,,,true,false,
h-111-1-7,111,2009-01-09,MOTION_TO_RECOMMIT,hr-12-111,Paycheck Fairness Act,,,,true,false,
h-111-1-8,111,2009-01-09,PASSAGE,hr-12-111,Paycheck Fairness Act,,,,true,false,
h-111-1-9,111,2009-01-09,PASSAGE,hr-11-111,Lilly Ledbetter Fair Pay Act of 2009,,,WORKFORCE,true,true,
h-111-1-11,111,2009-01-13,SUSPENSION,hres-41-111,Supporting the goals and ideals of National Mentoring Month 2009,,,,true,false,
h-111-1-12,111,2009-01-13,SUSPENSION,hres-50-111,"Honoring the life of Claiborne Pell, distinguished former Senator from the State of Rhode Island",,,,true,false,
h-111-1-13,111,2009-01-13,SUSPENSION,hres-43-111,Recognizing the efforts of those who serve their communities on Martin Luther King Day and promoting the holiday as a day of national service,,,,true,false,
h-111-1-14,111,2009-01-14,PASSAGE,hres-52-111,"Providing for consideration of H.R. 2, to amend title XXI of the Social Security Act to extend and improve the Children’s Health Insurance Program, and for other purposes",,,HEALTH_COSTS,true,false,
h-111-1-15,111,2009-01-14,MOTION_TO_RECOMMIT,hr-2-111,Children’s Health Insurance Program Reauthorization Act of 2009,,,HEALTH_COSTS,true,false,
h-111-1-16,111,2009-01-14,PASSAGE,hr-2-111,Children’s Health Insurance Program Reauthorization Act of 2009,,,HEALTH_COSTS,true,true,
h-111-1-17,111,2009-01-14,PASSAGE,hres-53-111,"Providing for consideration of H.R. 384, to reform the Troubled Assets Relief Program of the Secretary of the Treasury and ensure accountability under such program",,,,true,false,
h-111-1-18,111,2009-01-14,SUSPENSION,hres-40-111,"Amending the Rules of the House of Representatives to require each standing committee to hold periodic hearings on the topic of waste, fraud, abuse, or mismanagement in Government programs which that committee may authorize, and for other purposes",,,,true,false,
h-111-1-19,111,2009-01-15,AMENDMENT,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-20,111,2009-01-15,AMENDMENT,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-21,111,2009-01-15,AMENDMENT,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-22,111,2009-01-15,AMENDMENT,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-23,111,2009-01-21,AMENDMENT,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-24,111,2009-01-21,PROCEDURAL,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-25,111,2009-01-21,MOTION_TO_RECOMMIT,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-26,111,2009-01-21,PASSAGE,hr-384-111,TARP Reform and Accountability Act,,,,true,false,
h-111-1-27,111,2009-01-22,PASSAGE,hjres-3-111,Relating to the disapproval of obligations under the Emergency Economic Stabilization Act of 2008,,,,true,false,
h-111-1-28,111,2009-01-22,SUSPENSION,hres-56-111,"Designating the week of February 2 through February 6, 2009 as “National School Couseling Week”",,,,true,false,
h-111-1-29,111,2009-01-22,SUSPENSION,hres-58-111,Commending the University of Florida Gators for winning the Bowl Championship Series National Championship Game,,,,true,false,
h-111-1-30,111,2009-01-26,SUSPENSION,hres-31-111,"Expressing support for designation of January 28, 2009, as “National Data Privacy Day”",,,,true,false,
h-111-1-31,111,2009-01-26,SUSPENSION,hres-84-111,"Honoring the heroic actions of the pilot, crew, and rescuers of US Airways Flight 1549",,,,true,false,
h-111-1-32,111,2009-01-27,PROCEDURAL,hres-87-111,Rule providing for consideration of the bill S. 181,,,,true,false,
h-111-1-33,111,2009-01-27,PASSAGE,hres-87-111,Rule providing for consideration of the bill S. 181,,,,true,false,
h-111-1-34,111,2009-01-27,PROCEDURAL,hres-88-111,Rule providing for consideration of the bill H.R. 1,,,,true,false,
h-111-1-35,111,2009-01-27,PASSAGE,hres-88-111,Rule providing for consideration of the bill H.R. 1,,,,true,false,
h-111-1-36,111,2009-01-27,PROCEDURAL,s-181-111,Lilly Ledbetter Fair Pay Act of 2009,,,WORKFORCE,true,false,
h-111-1-37,111,2009-01-27,PASSAGE,s-181-111,Lilly Ledbetter Fair Pay Act of 2009,,,WORKFORCE,true,true,
h-111-1-38,111,2009-01-27,PROCEDURAL,hr-1-111,Making supplemental appropriations for fiscal year ending 2009,,,,true,false,
h-111-1-39,111,2009-01-28,PROCEDURAL,hres-92-111,Rule providing for consideration of H.R. 1,,,,true,false,
h-111-1-40,111,2009-01-28,PASSAGE,hres-92-111,Rule providing for consideration of H.R. 1,,,,true,false,
h-111-1-41,111,2009-01-28,SUSPENSION,s-328-111,To postpone the DTV transition date.,,,,true,false,
h-111-1-42,111,2009-01-28,AMENDMENT,hr-1-111,Making supplemental appropriations for fiscal year ending 2009,,,,true,false,
h-111-1-43,111,2009-01-28,AMENDMENT,hr-1-111,Making supplemental appropriations for fiscal year ending 2009,,,,true,false,
