Name,Chamber,District,Party,Bioguide ID,Contact Info,Committee Assignments
Mark Warner,Senate,VA,Democrat,2009,https://www.warner.senate.gov,"Finance, Intelligence, Banking, Housing, and Urban Affairs, Budget"
Tim Kaine,Senate,VA,Democrat,2013,https://www.kaine.senate.gov,"Armed Services, Foreign Relations, Budget, Health, Education, Labor, and Pensions"
Rob Wittman,House,VA-1,Republican,2007,https://wittman.house.gov,"Armed Services, Natural Resources, Transporation and Infrastructure"
Jen Kiggans,House,VA-2,Republican,2023,https://kiggans.house.gov,
Bobby Scott,House,VA-3,Democrat,1993,https://bobbyscott.house.gov,
Jennifer McClellan,House,VA-4,Democrat,2023,https://mcclellan.house.gov,
John McGuire,House,VA-5,Republican,2025,https://mcguire.house.gov,
Ben Cline,House,VA-6,Republican,2019,https://cline.house.gov,
Eugene Vindman,House,VA-7,Democrat,2025,https://vindman.house.gov,
Don Beyer,House,VA-8,Democrat,2015,https://beyer.house.gov,
Morgan Griffith,House,VA-9,Republican,2011,https://morgangriffith.house.gov,
Suhas Subramanyam,House,VA-10,Democrat,2025,https://subramanyam.house.gov/,
Vacant,House,VA-11,—,—,—,
