year,race_key,state_po,district,dem_two_party,dem_winner,incumbent_party,lean_rel_dem,inc_dem,midterm_dem,log_ratio_dem,qual_dem,nat_env,holdout,dem_name,rep_name
2010,AL-02,AL,2,0.489062,false,Democrat,-0.034990,1,-1,0.000000,0,-0.019864,false,BOBBY BRIGHT,MARTHA ROBY
2010,AL-03,AL,3,0.405193,false,Republican,-0.079104,-1,-1,0.000000,0,-0.019864,false,STEVE SEGREST,MIKE ROGERS
2010,AL-05,AL,5,0.420643,false,,-0.020098,0,-1,0.000000,0,-0.019864,false,STEVE RABY,MO BROOKS
2010,AL-07,AL,7,0.724847,true,,0.000000,0,-1,0.000000,0,-0.019864,false,TERRI A SEWELL,DON CHAMBERLAIN
2010,AK-00,AK,0,0.306755,false,Republican,-0.065272,-1,-1,0.000000,0,-0.019864,false,HARRY T CRAWFORD JR,DON YOUNG
2010,AZ-01,AZ,1,0.467972,false,Democrat,0.048199,1,-1,0.000000,0,-0.019864,false,ANN KIRKPATRICK,PAUL GOSAR
2010,AZ-02,AZ,2,0.323712,false,Republican,-0.153419,-1,-1,0.000000,0,-0.019864,false,JOHN THRASHER,TRENT FRANKS
2010,AZ-03,AZ,3,0.440610,false,,-0.100555,0,-1,0.000000,0,-0.019864,false,JON HULBURD,BEN QUAYLE
2010,AZ-04,AZ,4,0.708606,true,Democrat,0.234309,1,-1,0.000000,0,-0.019864,false,ED PASTOR,JANET CONTRERAS
2010,AZ-05,AZ,5,0.453927,false,Democrat,0.011426,1,-1,0.000000,0,-0.019864,false,HARRY E MITCHELL,DAVID SCHWEIKERT
2010,AZ-06,AZ,6,0.304767,false,Republican,-0.181803,-1,-1,0.000000,0,-0.019864,false,REBECCA SCHNEIDER,JEFF FLAKE
2010,AZ-07,AZ,7,0.531766,true,Democrat,0.120528,1,-1,0.000000,0,-0.019864,false,RAUL M GRIJALVA,RUTH MCCLUNG
2010,AZ-08,AZ,8,0.507628,true,Democrat,0.022912,1,-1,0.000000,0,-0.019864,false,GABRIELLE GIFFORDS,JESSE KELLY
2010,AR-01,AR,1,0.456391,false,,0.000000,0,-1,0.000000,0,-0.019864,false,CHAD CAUSEY,RICK CRAWFORD
2010,AR-02,AR,2,0.397908,false,,0.000000,0,-1,0.000000,0,-0.019864,false,JOYCE ELLIOTT,TIM GRIFFIN
2010,AR-03,AR,3,0.275649,false,,0.000000,0,-1,0.000000,0,-0.019864,false,DAVID WHITAKER,STEVE WOMACK
2010,AR-04,AR,4,0.588943,true,Democrat,0.000000,1,-1,0.000000,0,-0.019864,false,MIKE ROSS,BETH ANNE RANKIN
2010,CA-01,CA,1,0.669243,true,Democrat,0.206483,1,-1,0.000000,0,-0.019864,false,MIKE THOMPSON,LOREN HANKS
2010,CA-02,CA,2,0.428482,false,Republican,-0.117059,-1,-1,0.000000,0,-0.019864,false,JIM REED,WALLY HERGER
2010,CA-03,CA,3,0.463076,false,Republican,-0.067852,-1,-1,0.000000,0,-0.019864,false,AMI BERA,DANIEL E LUNGREN
2010,CA-04,CA,4,0.339135,false,Republican,-0.040543,-1,-1,0.000000,0,-0.019864,false,CLINT CURTIS,TOM MCCLINTOCK
2010,CA-05,CA,5,0.740299,true,Democrat,0.243088,1,-1,0.000000,0,-0.019864,false,DORIS O MATSUI,PAUL A SMITH
2010,CA-06,CA,6,0.690032,true,Democrat,0.210630,1,-1,0.000000,0,-0.019864,false,LYNN C WOOLSEY,JIM JUDD
2010,CA-07,CA,7,0.683235,true,Democrat,0.231546,1,-1,0.000000,0,-0.019864,false,GEORGE MILLER,RICK TUBBS
2010,CA-08,CA,8,0.841181,true,Democrat,0.343177,1,-1,0.000000,0,-0.019864,false,NANCY PELOSI,JOHN DENNIS
2010,CA-09,CA,9,0.886687,true,Democrat,0.360635,1,-1,0.000000,0,-0.019864,false,BARBARA LEE,GERALD HASHIMOTO
2010,CA-10,CA,10,0.608510,true,,0.138497,0,-1,0.000000,0,-0.019864,false,JOHN GARAMENDI,GARY CLIFT
2010,CA-11,CA,11,0.505827,true,Democrat,0.014639,1,-1,0.000000,0,-0.019864,false,JERRY MCNERNEY,DAVID HARMER
2010,CA-12,CA,12,0.773686,true,Democrat,0.264622,1,-1,0.000000,0,-0.019864,false,JACKIE SPEIER,MIKE MOLONEY
2010,CA-13,CA,13,0.721854,true,Democrat,0.226194,1,-1,0.000000,0,-0.019864,false,FORTNEY PETE STARK,FOREST BAKER
2010,CA-14,CA,14,0.712837,true,Democrat,0.220331,1,-1,0.000000,0,-0.019864,false,ANNA G ESHOO,DAVE CHAPMAN
2010,CA-15,CA,15,0.675975,true,Democrat,0.216869,1,-1,0.000000,0,-0.019864,false,MICHAEL M HONDA,SCOTT KIRKLAND
