member_bioguide_id,member_name,district,party,congress,chamber,rollcall_id,rollcall_date,bill_id,theme,axis_direction,vote_cast,contested,adjudication_note,adjudicator,adjudication_date,source_url,plain_language_summary,coded_blind,congress_era
K000384,Tim Kaine,,Democrat,119,Senate,s-119-1-153,2025-03-27,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-09-05,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00153.xml,,false,
W000805,Mark R. Warner,,Democrat,119,Senate,s-119-1-153,2025-03-27,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-09-05,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00153.xml,,false,
B001292,"Donald S. Beyer, Jr.",8,Democrat,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
C001118,Ben Cline,6,Republican,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
V000138,Eugene Simon Vindman,7,Democrat,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
W000804,Robert J. Wittman,1,Republican,119,House,h-119-1-96,2025-04-09,sjres-18-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll096.xml,,false,
B001292,"Donald S. Beyer, Jr.",8,Democrat,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
C001118,Ben Cline,6,Republican,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-153,2025-06-05,hr-2931-119,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll153.xml,,false,
