member_bioguide_id,member_name,district,party,congress,chamber,rollcall_id,rollcall_date,bill_id,theme,axis_direction,vote_cast,contested,adjudication_note,adjudicator,adjudication_date,source_url,plain_language_summary,coded_blind,congress_era
A000014,Neil Abercrombie,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
A000022,Gary L. Ackerman,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
A000210,Robert E. Andrews,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
A000362,Jason Altmire,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
A000363,Michael Arcuri,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
A000364,John Adler,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000287,Xavier Becerra,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000410,Howard L. Berman,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000420,Robert Berry,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,not_voting,false,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000490,"Sanford D. Bishop, Jr.",,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000574,Earl Blumenauer,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000652,Leonard L. Boswell,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000657,Frederick Boucher,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000716,Allen Boyd,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B000911,Corrine Brown,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001227,Robert A. Brady,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001229,Brian Baird,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001230,Tammy Baldwin,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001231,Shelley Berkley,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001234,Joe Baca,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001242,Timothy H. Bishop,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
B001245,Madeleine Z. Bordallo,,Democrat,111,House,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,advance,not_voting,false,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2009/roll225.xml,,true,111
